username,created_at_as_str,uri,api,unique_resource_name,unique_resource_id
test_35,2022-06-03 16:46:13.027604,/api/feedback/195,POSTED FEEDBACK_FOR_GOAL,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 4 | Title - The Power of Caring Community-Day 2,TaskMap|195
test_35,2022-06-03 16:46:13.111902,/task-page/14/4/3,ACCESSED TASK_PAGE,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 4 | Title - The Power of Caring Community-Day 3,TaskMap|196
test_35,2022-06-03 16:46:18.794111,/api/feedback/196,POSTED FEEDBACK_FOR_GOAL,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 4 | Title - The Power of Caring Community-Day 3,TaskMap|196
test_35,2022-06-03 16:46:18.880686,/,ACCESSED DASHBOARD,NONE,NONE
simmi_87,2022-06-03 16:46:56.648121,/api/mark_resource_visited/303,POSTED RESOURCE,Type - CAREER | Field - TechnologyTrack - Evaluation Project | Ram Bansal-Week 1 | Title - Frontend Development-Day 2 | Learn basic difference between inline and block elements | mandatory= True,Resource|303
sarthak_j_66,2022-06-03 16:51:42.252853,/situation/2/6/1,ACCESSED SITUATION,Type - CAREER | Field - Business ManagementTrack - Evaluation Project | Ram Bansal-Week 6 | Title - Finance-Day 1,TaskMap|146
sarthak_j_66,2022-06-03 16:51:42.358928,/task-page/2/6/1,ACCESSED TASK_PAGE,Type - CAREER | Field - Business ManagementTrack - Evaluation Project | Ram Bansal-Week 6 | Title - Finance-Day 1,TaskMap|146
sarthak_j_66,2022-06-03 16:51:48.322198,/situation/2/6/2,ACCESSED SITUATION,Type - CAREER | Field - Business ManagementTrack - Evaluation Project | Ram Bansal-Week 6 | Title - Finance-Day 2,TaskMap|313
sarthak_j_66,2022-06-03 16:51:48.434481,/task-page/2/6/2,ACCESSED TASK_PAGE,Type - CAREER | Field - Business ManagementTrack - Evaluation Project | Ram Bansal-Week 6 | Title - Finance-Day 2,TaskMap|313
sarthak_j_66,2022-06-03 16:54:21.447575,/situation/2/6/3,ACCESSED SITUATION,Type - CAREER | Field - Business ManagementTrack - Evaluation Project | Ram Bansal-Week 6 | Title - Finance-Day 3,TaskMap|314
sarthak_j_66,2022-06-03 16:54:21.631034,/,ACCESSED DASHBOARD,NONE,NONE
sarthak_j_66,2022-06-03 16:54:57.577465,/situation/2/6/1,ACCESSED SITUATION,Type - CAREER | Field - Business ManagementTrack - Evaluation Project | Ram Bansal-Week 6 | Title - Finance-Day 1,TaskMap|146
sarthak_j_66,2022-06-03 16:54:57.719259,/task-page/2/6/1,ACCESSED TASK_PAGE,Type - CAREER | Field - Business ManagementTrack - Evaluation Project | Ram Bansal-Week 6 | Title - Finance-Day 1,TaskMap|146
sarthak_j_66,2022-06-03 16:56:06.798795,/situation/2/6/2,ACCESSED SITUATION,Type - CAREER | Field - Business ManagementTrack - Evaluation Project | Ram Bansal-Week 6 | Title - Finance-Day 2,TaskMap|313
sarthak_j_66,2022-06-03 16:56:06.953155,/task-page/2/6/2,ACCESSED TASK_PAGE,Type - CAREER | Field - Business ManagementTrack - Evaluation Project | Ram Bansal-Week 6 | Title - Finance-Day 2,TaskMap|313
dreamer44_39,2022-06-03 17:03:51.371006,/,ACCESSED DASHBOARD,NONE,NONE
dreamer44_39,2022-06-03 17:04:18.669844,/situation/14/3/1,ACCESSED SITUATION,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 3 | Title - Dream College Life Realisation-Day 1,TaskMap|189
ECHRA_02__58,2022-06-03 17:04:20.706819,/,ACCESSED DASHBOARD,NONE,NONE
