id,created_at,username,uri,api,unique_resource_id
22052,2022-06-03 17:35:36.703418,mohitverma0612_1,/situation/10/1/3,ACCESSED SITUATION,TaskMap|327
22053,2022-06-03 17:35:36.977672,mohitverma0612_1,/task-page/10/1/3,ACCESSED TASK_PAGE,TaskMap|327
22054,2022-06-03 17:35:51.907778,mohitverma0612_1,/,ACCESSED DASHBOARD,NONE
22055,2022-06-03 17:35:58.619965,mohitverma0612_1,/situation/10/1/1,ACCESSED SITUATION,TaskMap|325
22056,2022-06-03 17:35:58.963818,mohitverma0612_1,/task-page/10/1/1,ACCESSED TASK_PAGE,TaskMap|325
22057,2022-06-03 17:36:06.149091,dreamer13_53,/api/feedback/230,POSTED FEEDBACK_FOR_GOAL,TaskMap|230
22058,2022-06-03 17:36:06.276816,dreamer13_53,/task-page/14/5/2,ACCESSED TASK_PAGE,TaskMap|231
22059,2022-06-03 17:39:28.436524,explorin_vedant11,/,ACCESSED DASHBOARD,NONE
22060,2022-06-03 17:39:43.568808,explorin_vedant11,/situation/14/2/2,ACCESSED SITUATION,TaskMap|199
22061,2022-06-03 17:39:43.672078,explorin_vedant11,/task-page/14/2/2,ACCESSED TASK_PAGE,TaskMap|199
22062,2022-06-03 17:41:38.211283,jai_s_96,/,ACCESSED DASHBOARD,NONE
22063,2022-06-03 17:41:46.804304,jai_s_96,/situation/13/2/4,ACCESSED SITUATION,TaskMap|280
22064,2022-06-03 17:41:46.944071,jai_s_96,/task-page/13/2/4,ACCESSED TASK_PAGE,TaskMap|280
22065,2022-06-03 17:41:48.960453,jai_s_96,/situation/13/2/1,ACCESSED SITUATION,TaskMap|278
22066,2022-06-03 17:41:49.110722,jai_s_96,/task-page/13/2/1,ACCESSED TASK_PAGE,TaskMap|278
22067,2022-06-03 17:41:55.210495,jai_s_96,/api/upload_career_task_submissions/184,POSTED TASK_SUBMISSION,Action|184
22068,2022-06-03 17:41:56.267773,jai_s_96,/task-page/13/2/1,ACCESSED TASK_PAGE,TaskMap|278
22069,2022-06-03 17:42:00.319387,jai_s_96,/api/mark_resource_visited/846,POSTED RESOURCE,Resource|846
22070,2022-06-03 17:42:00.683620,jai_s_96,/api/mark_resource_visited/845,POSTED RESOURCE,Resource|845
22071,2022-06-03 17:42:01.157400,jai_s_96,/api/mark_resource_visited/844,POSTED RESOURCE,Resource|844
22072,2022-06-03 17:42:02.369717,dreamer44_39,/,ACCESSED DASHBOARD,NONE
22073,2022-06-03 17:42:04.927267,jai_s_96,/api/feedback/278,POSTED FEEDBACK_FOR_GOAL,TaskMap|278
22074,2022-06-03 17:42:05.032181,jai_s_96,/task-page/13/2/2,ACCESSED TASK_PAGE,TaskMap|281
22075,2022-06-03 17:42:14.342702,jai_s_96,/api/mark_resource_visited/854,POSTED RESOURCE,Resource|854
22076,2022-06-03 17:42:14.653029,jai_s_96,/api/mark_resource_visited/855,POSTED RESOURCE,Resource|855
22077,2022-06-03 17:42:15.245740,jai_s_96,/api/mark_resource_visited/856,POSTED RESOURCE,Resource|856
22078,2022-06-03 17:42:15.650699,jai_s_96,/api/mark_resource_visited/857,POSTED RESOURCE,Resource|857
22079,2022-06-03 17:42:25.301302,jai_s_96,/api/feedback/281,POSTED FEEDBACK_FOR_GOAL,TaskMap|281
22080,2022-06-03 17:42:25.411342,jai_s_96,/task-page/13/2/3,ACCESSED TASK_PAGE,TaskMap|279
22081,2022-06-03 17:42:27.425181,jai_s_96,/situation/13/2/2,ACCESSED SITUATION,TaskMap|281
22082,2022-06-03 17:42:27.593021,jai_s_96,/task-page/13/2/2,ACCESSED TASK_PAGE,TaskMap|281
