created_at,username,uri,api
2022-04-24 16:10:02.438792,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:11:02.710290,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:12:02.959466,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:13:03.218499,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:14:02.491659,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:14:03.976328,someonenew,/api/mark_resource_visited/361,POSTED RESOURCE
2022-04-24 16:15:02.776053,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:15:32.003324,akshit,/task-page/2/9/1,ACCESSED TASK_PAGE
2022-04-24 16:16:02.813777,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:17:03.163921,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:18:02.424472,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:19:02.828918,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:20:03.087766,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:21:02.587700,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:22:02.857827,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:23:03.114383,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:24:02.344632,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:25:02.643891,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:26:03.032479,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:27:03.268546,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:28:02.520369,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:29:02.829244,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:30:03.105438,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:31:03.040429,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:32:02.351600,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:33:02.602637,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:33:04.644615,someonenew,/api/mark_resource_visited/362,POSTED RESOURCE
2022-04-24 16:34:02.925868,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:35:03.158235,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:36:02.444574,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:36:29.723397,akshit,/,ACCESSED DASHBOARD
2022-04-24 16:37:02.709276,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:38:03.014829,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:39:03.346032,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:40:02.653471,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:41:02.609090,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:42:02.986744,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:43:03.288785,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:43:11.909294,anonymous_user,/login?next=/,POSTED_ON LOGIN_PAGE
2022-04-24 16:43:12.179142,explorin_vedant11,/,ACCESSED DASHBOARD
2022-04-24 16:44:02.772197,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:44:04.745607,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:44:06.901801,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:44:49.469113,someonenew,/,ACCESSED DASHBOARD
2022-04-24 16:45:03.038802,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:45:05.194233,someonenew,/situation/14/1/1,ACCESSED SITUATION
2022-04-24 16:45:05.623641,someonenew,/task-page/14/1/1,ACCESSED TASK_PAGE
2022-04-24 16:46:02.670513,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:47:03.090112,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:48:02.364238,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:49:02.648584,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:50:02.889117,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:51:02.893145,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:52:03.134759,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:53:02.391586,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:54:02.645868,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:55:02.890460,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:56:03.338959,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:56:33.043885,someonenew,/,ACCESSED DASHBOARD
2022-04-24 16:57:02.579058,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:57:10.205419,someonenew,/situation/14/1/1,ACCESSED SITUATION
2022-04-24 16:57:10.408610,someonenew,/task-page/14/1/1,ACCESSED TASK_PAGE
2022-04-24 16:58:02.853152,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 16:59:03.071700,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 17:00:02.480253,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 17:01:02.561481,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 17:02:02.816394,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 17:02:24.616385,someonenew,/api/feedback/182,POSTED FEEDBACK_FOR_GOAL
2022-04-24 17:03:03.049384,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 17:03:17.051510,someonenew,/api/feedback/182,POSTED FEEDBACK_FOR_GOAL
2022-04-24 17:03:25.449135,someonenew,/task-page/14/1/1,ACCESSED TASK_PAGE
2022-04-24 17:03:28.955495,someonenew,/task-page/14/1/2,ACCESSED TASK_PAGE
2022-04-24 17:04:03.293917,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 17:05:02.609862,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 17:06:03.311861,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 17:06:11.931391,someonenew,/api/feedback/191,POSTED FEEDBACK_FOR_GOAL
2022-04-24 17:06:17.443588,someonenew,/api/feedback/191,POSTED FEEDBACK_FOR_GOAL
2022-04-24 17:06:29.003690,someonenew,/api/feedback/191,POSTED FEEDBACK_FOR_GOAL
2022-04-24 17:06:46.186927,someonenew,/task-page/14/1/2,ACCESSED TASK_PAGE
2022-04-24 17:06:53.710621,someonenew,/task-page/14/1/3,ACCESSED TASK_PAGE
2022-04-24 17:07:02.564960,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 17:08:03.061327,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 17:09:02.317519,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 17:09:11.982877,someonenew,/,ACCESSED DASHBOARD
2022-04-24 17:09:20.234590,someonenew,/situation/14/1/3,ACCESSED SITUATION
2022-04-24 17:09:20.420695,someonenew,/task-page/14/1/3,ACCESSED TASK_PAGE
2022-04-24 17:09:30.780976,someonenew,/api/feedback/193,POSTED FEEDBACK_FOR_GOAL
2022-04-24 17:09:30.931842,someonenew,/,ACCESSED DASHBOARD
2022-04-24 17:10:02.616713,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 17:11:02.660775,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 17:12:02.951449,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
2022-04-24 17:13:03.236404,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE
